bgc_id,module_from,module_to,reactant_smiles,product_smiles,domains,at_substrate,kr_annotation,dh_annotation,er_annotation,te_annotation,domains_norm,reactant_has_thio,product_has_thio,step_type,reaction_id,closure,domains_norm_no_acp
BGC1000003,1,2,CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],"KS,AT,KR",mal,unknown,,,,"KS,AT,KR",True,True,EXT,BGC1000003_m1_to_m2,,"KS,AT,KR"
BGC1000003,2,3,CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S],"KS,AT",mal,,,,,"KS,AT",True,True,EXT,BGC1000003_m2_to_m3,,"KS,AT"
BGC1000003,3,4,CC(=O)CC(O)CC(=O)CC(=O)[S],CC1=C(C(=CC=C1)O)C(=O)O,,,,,,,,True,False,CLOSURE,BGC1000003_m3_to_m4,PT_or_TE,
BGC1000004,0,1,CC(=O)[S],CC(=O)CC(=O)[S],"KS,AT",mal,,,,,"KS,AT",True,True,EXT,BGC1000004_m0_to_m1,,"KS,AT"
BGC1000004,1,2,CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],"KS,AT",mal,,,,,"KS,AT",True,True,EXT,BGC1000004_m1_to_m2,,"KS,AT"
BGC1000004,2,3,CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S],"KS,AT",mal,,,,,"KS,AT",True,True,EXT,BGC1000004_m2_to_m3,,"KS,AT"
BGC1000004,3,4,CC(=O)CC(=O)CC(=O)CC(=O)[S],CC1=CC(=CC(=C1C(=O)O)O)O,,,,,,,,True,False,CLOSURE,BGC1000004_m3_to_m4,PT_or_TE,
BGC1000005,0,1,CC(=O)[S],CC(=O)CC(=O)[S],"KS,AT",mal,,,,,"KS,AT",True,True,EXT,BGC1000005_m0_to_m1,,"KS,AT"
BGC1000005,1,2,CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],"KS,AT,KR",mal,unknown,,,,"KS,AT,KR",True,True,EXT,BGC1000005_m1_to_m2,,"KS,AT,KR"
BGC1000005,2,3,CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S],"KS,AT",mal,,,,,"KS,AT",True,True,EXT,BGC1000005_m2_to_m3,,"KS,AT"
BGC1000005,3,4,CC(=O)CC(O)CC(=O)CC(=O)[S],CC1=C(C(=CC=C1)O)C(=O)O,DH,,,,,,DH,True,False,CLOSURE,BGC1000005_m3_to_m4,PT_or_TE,DH
BGC1000006,0,1,CC(=O)[S],CC(=O)CC(=O)[S],"KS,AT",mal,,,,,"KS,AT",True,True,EXT,BGC1000006_m0_to_m1,,"KS,AT"
BGC1000006,1,2,CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],"KS,AT,KR",mal,unknown,,,,"KS,AT,KR",True,True,EXT,BGC1000006_m1_to_m2,,"KS,AT,KR"
BGC1000006,2,3,CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S],"KS,AT",mal,,,,,"KS,AT",True,True,EXT,BGC1000006_m2_to_m3,,"KS,AT"
BGC1000006,3,4,CC(=O)CC(O)CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S],"KS,AT,KR",mal,unknown,,,,"KS,AT,KR",True,True,EXT,BGC1000006_m3_to_m4,,"KS,AT,KR"
BGC1000006,4,5,CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],"KS,AT",mal,,,,,"KS,AT",True,True,EXT,BGC1000006_m4_to_m5,,"KS,AT"
BGC1000006,5,6,CC(=O)CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],CC1=C2C=CC(O)=C(C2=CC=C1)C(=O)O,DH,,,,,,DH,True,False,CLOSURE,BGC1000006_m5_to_m6,PT_or_TE,DH
BGC1000007,0,1,CC(=O)[S],CC(=O)CC(=O)[S],"KS,AT",mal,,,,,"KS,AT",True,True,EXT,BGC1000007_m0_to_m1,,"KS,AT"
BGC1000007,1,2,CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],"KS,AT",mal,,,,,"KS,AT",True,True,EXT,BGC1000007_m1_to_m2,,"KS,AT"
BGC1000007,2,3,CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S],"KS,AT",mal,,,,,"KS,AT",True,True,EXT,BGC1000007_m2_to_m3,,"KS,AT"
BGC1000007,3,4,CC(=O)CC(=O)CC(=O)CC(=O)[S],CC1=CC(=CC(=C1C(=O)O)O)O,,,,,,,,True,False,CLOSURE,BGC1000007_m3_to_m4,PT_or_TE,
