reaction_id,bgc_id,step_type,domains_norm,at_substrate,closure,pt_mode,origin,reactant_smiles_std,product_smiles_std,file_stem,variant,selected_mapper,aam,module_from,module_to
BGC1000001_m0_to_m1,BGC1000001,EXT,"ACP,AT,KR,KS",mal,,,iPKS_bacterial,CC(=O)[S],CC(O)CC(=O)[S],BGC1000001_m0_to_m1__r3,3,graphormer,[S:4][C:2]([CH3:1])=[O:3]>>[CH:6]([OH:7])([CH2:1][C:2]([S:4])=[O:3])[CH3:5],0.0,1.0
BGC1000001_m1_to_m2,BGC1000001,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(O)CC(=O)[S],CC(O)CC(=O)CC(=O)[S],BGC1000001_m1_to_m2__r0,0,graphormer,[CH:2]([OH:3])([CH2:4][C:5]([S:7])=[O:6])[CH3:1]>>[CH:9]([CH2:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7])([CH3:8])[OH:10],1.0,2.0
BGC1000001_m1_to_m2,BGC1000001,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(O)CC(=O)[S],CC(O)CC(=O)CC(=O)[S],BGC1000001_m1_to_m2__r1,1,graphormer,[CH:2]([OH:3])([CH2:4][C:5]([S:7])=[O:6])[CH3:1]>>[CH:9]([CH2:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7])([CH3:8])[OH:10],1.0,2.0
BGC1000001_m1_to_m2,BGC1000001,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(O)CC(=O)[S],CC(O)CC(=O)CC(=O)[S],BGC1000001_m1_to_m2__r2,2,graphormer,[CH:2]([OH:3])([CH2:4][C:5]([S:7])=[O:6])[CH3:1]>>[CH:9]([CH2:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7])([CH3:8])[OH:10],1.0,2.0
BGC1000001_m1_to_m2,BGC1000001,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(O)CC(=O)[S],CC(O)CC(=O)CC(=O)[S],BGC1000001_m1_to_m2__r3,3,graphormer,[CH:2]([OH:3])([CH2:4][C:5]([S:7])=[O:6])[CH3:1]>>[CH:9]([CH2:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7])([CH3:8])[OH:10],1.0,2.0
BGC1000001_m2_to_m3,BGC1000001,EXT,"ACP,AT,KR,KS",mal,,,iPKS_bacterial,CC(O)CC(=O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)[S],BGC1000001_m2_to_m3__r0,0,graphormer,[CH:2]([CH2:4][C:5](=[O:6])[CH2:7][C:8](=[O:9])[S:10])([CH3:1])[OH:3]>>[CH:12]([CH2:1][C:5](=[O:6])[CH2:4][CH:2]([OH:3])[CH2:7][C:8](=[O:9])[S:10])([CH3:11])[OH:13],2.0,3.0
BGC1000001_m2_to_m3,BGC1000001,EXT,"ACP,AT,KR,KS",mal,,,iPKS_bacterial,CC(O)CC(=O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)[S],BGC1000001_m2_to_m3__r1,1,graphormer,[CH:2]([CH2:4][C:5](=[O:6])[CH2:7][C:8](=[O:9])[S:10])([CH3:1])[OH:3]>>[CH:12]([CH2:1][C:5](=[O:6])[CH2:4][CH:2]([OH:3])[CH2:7][C:8](=[O:9])[S:10])([CH3:11])[OH:13],2.0,3.0
BGC1000001_m2_to_m3,BGC1000001,EXT,"ACP,AT,KR,KS",mal,,,iPKS_bacterial,CC(O)CC(=O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)[S],BGC1000001_m2_to_m3__r2,2,graphormer,[CH:2]([CH2:4][C:5](=[O:6])[CH2:7][C:8](=[O:9])[S:10])([CH3:1])[OH:3]>>[CH:12]([CH2:1][C:5](=[O:6])[CH2:4][CH:2]([OH:3])[CH2:7][C:8](=[O:9])[S:10])([CH3:11])[OH:13],2.0,3.0
BGC1000001_m2_to_m3,BGC1000001,EXT,"ACP,AT,KR,KS",mal,,,iPKS_bacterial,CC(O)CC(=O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)[S],BGC1000001_m2_to_m3__r3,3,graphormer,[CH:2]([CH2:4][C:5](=[O:6])[CH2:7][C:8](=[O:9])[S:10])([CH3:1])[OH:3]>>[CH:12]([CH2:1][C:5](=[O:6])[CH2:4][CH:2]([OH:3])[CH2:7][C:8](=[O:9])[S:10])([CH3:11])[OH:13],2.0,3.0
BGC1000001_m3_to_m4,BGC1000001,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(O)CC(=O)CC(O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],BGC1000001_m3_to_m4__r0,0,graphormer,[CH:2]([CH2:4][C:5](=[O:6])[CH2:7][CH:8]([OH:9])[CH2:10][C:11](=[O:12])[S:13])([CH3:1])[OH:3]>>[O:9]=[C:8]([CH2:7][CH:5]([CH2:4][C:2](=[O:3])[CH2:1][CH:16]([OH:14])[CH3:15])[OH:6])[CH2:10][C:11]([S:13])=[O:12],3.0,4.0
BGC1000001_m3_to_m4,BGC1000001,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(O)CC(=O)CC(O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],BGC1000001_m3_to_m4__r1,1,graphormer,[CH:2]([CH2:4][C:5](=[O:6])[CH2:7][CH:8]([OH:9])[CH2:10][C:11](=[O:12])[S:13])([CH3:1])[OH:3]>>[O:9]=[C:8]([CH2:7][CH:5]([CH2:4][C:2](=[O:3])[CH2:1][CH:16]([OH:14])[CH3:15])[OH:6])[CH2:10][C:11]([S:13])=[O:12],3.0,4.0
BGC1000001_m3_to_m4,BGC1000001,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(O)CC(=O)CC(O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],BGC1000001_m3_to_m4__r2,2,graphormer,[CH:2]([CH2:4][C:5](=[O:6])[CH2:7][CH:8]([OH:9])[CH2:10][C:11](=[O:12])[S:13])([CH3:1])[OH:3]>>[O:9]=[C:8]([CH2:7][CH:5]([CH2:4][C:2](=[O:3])[CH2:1][CH:16]([OH:14])[CH3:15])[OH:6])[CH2:10][C:11]([S:13])=[O:12],3.0,4.0
BGC1000001_m3_to_m4,BGC1000001,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(O)CC(=O)CC(O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],BGC1000001_m3_to_m4__r3,3,graphormer,[CH:2]([CH2:4][C:5](=[O:6])[CH2:7][CH:8]([OH:9])[CH2:10][C:11](=[O:12])[S:13])([CH3:1])[OH:3]>>[O:9]=[C:8]([CH2:7][CH:5]([CH2:4][C:2](=[O:3])[CH2:1][CH:16]([OH:14])[CH3:15])[OH:6])[CH2:10][C:11]([S:13])=[O:12],3.0,4.0
